Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Dinan;103641;22;Gendarmerie;3;0.56
Dives sur Mer;11924;14;Police;8.72;2.43
Dole;25685;39;Police;8.99;1.71
Dole;82622;39;Gendarmerie;5.03;1.22
Dombasle sur Meurthe;21678;54;Police;3.55;0.51
Domfront;67816;61;Gendarmerie;2.88;0.55
Douai;132893;59;Police;3.91;1.57
Douai;121866;59;Gendarmerie;4.64;1.61
Draguignan;41922;83;Police;5.37;2.34
Draguignan;126822;83;Gendarmerie;7.13;2.4
Drancy;66410;93;Police;6.51;3.28
Draveil;55822;91;Police;5.52;3.51
Dreux;45379;28;Police;4.41;2.12
Dreux;93435;28;Gendarmerie;6.66;2.44
Dunkerque;155197;59;Police;5.07;1.48
Dunkerque;75633;59;Gendarmerie;3.28;0.48
Ecuires;81059;62;Gendarmerie;3.7;0.74
elancourt;62657;78;Police;7.17;2.25
Enghien   Montmorency;75963;95;Police;8.77;2.88
Epernay;79787;51;Gendarmerie;9.36;2.47
epernay;34170;51;Police;4.48;2.46
epinal;44215;88;Police;8.19;1
epinay sur Seine;67110;93;Police;5.59;2.8
Ermont;102204;95;Police;5.37;2.64
Etampes;107894;91;Gendarmerie;5.85;2.79
etampes;29436;91;Police;10.7;2.28
Evreux;141098;27;Gendarmerie;5.71;1.46
evreux;54620;27;Police;5.6;2.4
Evry;118649;91;Gendarmerie;6.6;2.75
evry;93410;91;Police;5.21;2.58
Falaise;79553;14;Gendarmerie;2.87;0.38
Fecamp;22366;76;Police;4.2;0.89
Fecamp;71341;76;Gendarmerie;2.58;0.64
Figeac;53656;46;Gendarmerie;3.24;0.54
Fleche ;120546;72;Gendarmerie;3.86;0.53
Flers;21769;61;Police;1.79;0.46
Florac;13293;48;Gendarmerie;2.11;0.45
Foix;12079;9;Police;4.64;0.99
Foix;35796;9;Gendarmerie;4.86;0.64
Fontainebleau;44297;77;Police;6.7;1.11
Fontainebleau;48112;77;Gendarmerie;5.9;1.75
Fontenay le Comte;130330;85;Gendarmerie;3.65;0.99
Fontenay le Fleury;43826;78;Police;4.5;1.78
Fontenay sous Bois;53145;94;Police;6.25;2.26
Forbach;43335;57;Police;4.02;0.69
Forbach;76155;57;Gendarmerie;3.07;0.34
Forcalquier;60467;4;Gendarmerie;6.35;1.75
Fort de France;87216;972;Police;6.48;1.58
Fort de France;61094;972;Gendarmerie;5.91;0.49
Fougeres;22710;35;Police;3.74;0.66
